Astana_argumentLatitude,Astana_focalParameter,Astana_semimajor,Astana_eccentricity,Astana_argumentPeriapsis,Astana_inclination,Astana_ascendingNode,Astana_analytical_inclination,Astana_analytical_ascendingNode,Astana_analytical_argumentPeriapsis,Astana_analytical_eccentricity,Astana_analytical_focalParameter,Astana_analytical_semimajor,Astana_analytical_semimajor_easy
3.19910761762692,5112305.08650864,6828842.07531764,0.501363886725395,0.527613177646166,0.891092532308208,1.04355679120565,0.891096367221542,1.04354948712912,0.527448979922614,0.501372081111137,5112324.49193379,6828872.85798603,6828942.94903479
3.20437861312357,5112299.52881327,6828822.40489288,0.501362547793271,0.527605250308232,0.891092091512654,1.04355675705325,0.89109593290278,1.04354945345156,0.527441041264408,0.5013707414072,5112319.02127595,6828853.41712654,6828923.38721616
3.20962707580859,5112293.53606571,6828802.84609093,0.501361284589201,0.527597327686393,0.891091616207939,1.04355671700204,0.89109546382599,1.0435494138936,0.527433111144713,0.501369477887233,5112313.1128077,6828834.08325451,6828903.93752865
3.21485338422012,5112287.11619078,6828783.39954881,0.501360096026764,0.527589412254169,0.891091107021963,1.04355667065288,0.891094960621412,1.04354936805246,0.527425191900363,0.501368289461199,5112306.77446749,6828814.85707152,6828884.6005941
3.22005791084603,5112280.2769175,6828764.06578228,0.501358981034813,0.527581506398516,0.891090564567098,1.04355661761988,0.891094423903722,1.04354931553871,0.527417285784542,0.501367175054419,5112300.01399777,6828795.73915709,6828865.37691357
3.22524102227032,5112273.02578409,6828744.84519237,0.501357938557456,0.52757361242304,0.891089989440587,1.04355655752982,0.891093854272439,1.04354925597565,0.527409394969935,0.501366133607552,5112292.83895003,6828776.72997518,6828846.26687391
3.23040307931551,5112265.37014294,6828725.73807158,0.501356967554023,0.527565732551098,0.891089382224938,1.04355649002165,0.89109325231231,1.04354918899885,0.527401521551763,0.50136516407655,5112285.25668975,6828757.82988039,6828827.27075394
3.23554443718146,5112257.31716533,6828706.74460982,0.501356066999012,0.527557868928787,0.891088743488301,1.04355641474592,0.891092618593696,1.04354911425554,0.527393667550718,0.501364265432611,5112277.27440114,6828739.03912387,6828808.3887303
3.24066544558048,5112248.87384613,6828687.86489997,0.501355235882024,0.52755002362782,0.891088073784837,1.04355633136435,0.891091953672936,1.04354903140417,0.527385834915778,0.501363436662109,5112268.89909183,6828720.35785889,6828789.6208831
3.24576644886894,5112240.04700831,6828669.09894321,0.501354473207687,0.527542198648306,0.891087373655076,1.04355623954928,0.891091258092705,1.04354894011389,0.527378025526923,0.501362676766514,5112260.13759733,6828701.78614616,6828770.96720111
3.2508477861756,5112230.84330729,6828650.44665408,0.501353777995569,0.52753439592142,0.891086643626267,1.04355613898325,0.891090532382367,1.04354884006413,0.527370241197761,0.501361984762302,5112250.99658547,6828683.32395883,6828752.42758687
