t,x,y,z
58763.6,6797388.11902144,0.000636216528165192,188318.316199486
58763.7,6797366.84244245,0.00063549711640059,189083.63991686
58763.8,6797345.47957269,0.000636336871798824,189848.961226155
58763.9,6797324.03041363,0.000636130822929431,190614.280117933
58764,6797302.49496351,0.00063506645028084,191379.596582957
58764.1,6797280.87322173,0.000634492660191402,192144.910611358
58764.2,6797259.16518909,0.000633847814418778,192910.222192468
58764.3,6797237.37086543,0.000633226460528261,193675.531316658
58764.4,6797215.49025163,0.000632317295992631,194440.837974082
58764.5,6797193.52334705,0.000630885692386123,195206.142155177
58764.6,6797171.47015113,0.000628786400975497,195971.443849823
58764.7,6797149.33066283,0.000627650633239072,196736.743048551
58764.8,6797127.10488667,0.000628026223770359,197502.039741765
58764.9,6797104.79282392,0.000627383251781734,198267.333920015
58765,6797082.39447284,0.000625877545190694,199032.625574067
58765.1,6797059.90983296,0.000624886814536269,199797.914694053
58765.2,6797037.33890504,0.00062382357152538,200563.201269303
58765.3,6797014.68168892,0.000622801711843644,201328.485290203
58765.4,6796991.93818548,0.000621476109645613,202093.766746893
58765.5,6796969.10839414,0.000619634691956217,202859.045629816
58765.6,6796946.19231427,0.000617134416000261,203624.321928859
58765.7,6796923.189945,0.000615608279767651,204389.595634583
58765.8,6796900.10129088,0.000615550361855536,205154.866737358
58765.9,6796876.92635303,0.000614503267214163,205920.135227734
58766,6796853.66512967,0.00061260674829996,206685.401096478
58766.1,6796830.31762051,0.000611243473305315,207450.66433372
58766.2,6796806.88382622,0.000609808485071965,208215.924928797
58766.3,6796783.36374665,0.000608443219963226,208981.18287211
58766.4,6796759.7573827,0.000606760735796531,209746.438153772
58766.5,6796736.06473384,0.000604564857329884,210511.690764231
58766.6,6796712.28579939,0.000601718050371867,211276.940693384
58766.7,6796688.42057856,0.000599854114360128,212042.187931819
58766.8,6796664.46907603,0.000599409801055994,212807.432469872
58766.9,6796640.43129276,0.000597989068190609,213572.674298105
58767,6796616.30722692,0.000595746119707983,214337.91340728
58767.1,6796592.09687838,0.000594049251774078,215103.149787524
58767.2,6796567.80024772,0.000592287057183968,215868.383428189
58767.3,6796543.41733482,0.000590633999526424,216633.614319688
58767.4,6796518.94814061,0.000588652549302523,217398.842452101
58767.5,6796494.39266456,0.000586157115455106,218164.067815876
58767.6,6796469.75090598,0.000583020678579216,218929.290400924
58767.7,6796445.02286413,0.000580899562581809,219694.510197844
58767.8,6796420.20854385,0.000580137838654899,220459.727196953
58767.9,6796395.30794592,0.000578389559103369,221224.941388836
58768,6796370.32106848,0.000575854850492929,221990.152764241
58768.1,6796345.24791154,0.000573874560505455,222755.361313289
58768.2,6796320.08847561,0.000571844827014239,223520.567025352
58768.3,6796294.8427606,0.000569974314473558,224285.769890854
58768.4,6796269.51076743,0.000567765269462317,225050.96989984
58768.5,6796244.09249564,0.000565038996793794,225816.167042757
58768.6,6796218.58794447,0.000561685777681045,226581.36130953
58768.7,6796192.99711326,0.000559408286052131,227346.552690755
58768.8,6796167.32000698,0.000558419199121956,228111.741176745
58768.9,6796141.55662626,0.000556416172749719,228876.926758116
58769,6796115.70696919,0.00055366851911934,229642.109425593
58769.1,6796089.77103594,0.000551480947566485,230407.289169288
58769.2,6796063.74882694,0.000549273806163527,231172.46597859
58769.3,6796037.64034214,0.000547288673189981,231937.639843934
58769.4,6796011.44558247,0.000544954365497041,232702.810755337
58769.5,6795985.16454748,0.000542097424755686,233467.978703243
