t,x,y,z,r
58777.0775462963,2044845.07557402,186.919629792987,6479745.51941252,6794740.12853949
58777.078125,1676852.17846042,191.282865071117,6584292.49594554,6794463.99189527
58777.0787037037,1303561.4483535,195.092958821978,6667977.72961293,6794203.37422341
58777.0792824074,926152.469102146,198.326640450246,6730537.27002444,6793959.84522617
58777.0798611111,545817.598323753,200.962290087814,6771773.38759513,6793734.7390053
58777.0804398148,163758.321875632,202.980043131414,6791555.15196215,6793529.14259798
58777.0810185185,-218818.413060174,204.361890378571,6789818.82209306,6793343.88769677
58777.0815972222,-600703.878712659,205.091773360737,6766568.04794109,6793179.54564579
58777.0821759259,-980691.25381355,205.155674465773,6721873.88340038,6793036.42576244
58777.0827546296,-1357579.30958472,204.541701435575,6655874.61019601,6792914.57699136
58777.0833333333,-1730176.08706764,203.240165819432,6568775.37223005,6792813.79285368
58777.083912037,-2097302.55805187,201.243654960082,6460847.61981738,6792733.6196122
58777.0844907407,-2457796.26158092,198.547097088341,6332428.3632036,6792673.36753119
58777.0850694444,-2810514.907655,195.147819104011,6183919.23478112,6792632.12506975
58777.0856481481,-3154339.9393255,191.045596626419,6015785.35952558,6792608.77580954
58777.0862268519,-3488180.04389987,186.242695907798,5828554.0333773,6792602.01788287
58777.0868055556,-3810974.60346858,180.743907217346,5622813.20960294,6792610.38563498
58777.0873842593,-4121697.07444665,174.556569323649,5399209.79359957,6792632.27322616
58777.087962963,-4419358.28531405,167.690584728438,5158447.74714998,6792665.95985485
58777.0885416667,-4703009.64126369,160.158425335588,4901286.00380671,6792709.6362631
58777.0891203704,-4971746.2240458,151.975128275863,4628536.19786684,6792761.43216982
58777.0896990741,-5224709.77495446,143.158281650114,4341060.21029528,6792819.44426671
58777.0902777778,-5461091.54865686,133.728000001071,4039767.5359482,6792881.7644057
58777.0908564815,-5680135.025436,123.706889376299,3725612.47752613,6792946.50760527
58777.0914351852,-5881138.46942023,113.12000190165,3399591.17283144,6793011.83950714
58777.0920138889,-6063457.32051915,101.994779845069,3062738.46309534,6793076.00292267
58777.0925925926,-6226506.4080865,90.3609892140822,2716124.6113549,6793137.34312174
58777.0931712963,-6369761.97479024,78.2506429959062,2360851.88107554,6793194.33153393
