t,x,y,z,r
58777.0868055556,-3817740.81127494,180.607349862016,5616583.04089557,6791255.40603275
58777.0873842593,-4128182.20173527,174.401368557143,5392529.73468618,6791263.89272381
58777.087962963,-4425533.53973852,167.516573734802,5151328.68378377,6791283.70396833
58777.0885416667,-4708846.53737459,159.965506393768,4893740.60001884,6791313.03934714
58777.0891203704,-4977216.6888287,151.763275795838,4620578.89847475,6791350.03866073
58777.0896990741,-5229786.25500546,142.927545023952,4332707.23741267,6791392.8099176
58777.0902777778,-5465747.11871877,133.478506246382,4031036.8792041,6791439.4575158
58777.0908564815,-5684343.49786451,123.438845553436,3716523.87784416,6791488.11024045
58777.0914351852,-5884874.50426657,112.833697280958,3390166.09946917,6791536.94870963
58777.0920138889,-6066696.53574567,101.690587806509,3053000.0838486,6791584.23191151
58777.0925925926,-6229225.4895055,90.0393688576183,2706097.7557168,6791628.32247964
58777.0931712963,-6371938.78522094,77.9121404459751,2350562.99629914,6791667.71038189
58777.09375,-6494377.18696534,65.3431636007084,1987528.0863467,6791701.03470865
58777.0943287037,-6596146.41379537,52.3687631485303,1618150.03336089,6791727.10328042
58777.0949074074,-6676918.52984016,39.0272208474507,1243606.7965416,6791744.90981886
58777.0954861111,-6736433.10574353,25.3586592521476,865093.424166175,6791753.64845752
58777.0960648148,-6774498.14457169,11.4049167457956,483818.118816989,6791752.72540387
58777.0966435185,-6790990.76659212,-2.79058576599211,100998.246676686,6791741.76760122
58777.0972222222,-6785857.64875074,-17.1829859526216,-282143.692393408,6791720.62827687
58777.0978009259,-6759115.21614566,-31.7261283500622,-664384.116797783,6791689.38930452
58777.0983796296,-6710849.58432706,-46.3727192096079,-1044502.41981951,6791648.36034831
58777.0989583333,-6641216.25279151,-61.074487230736,-1421285.01347676,6791598.07479843
58777.099537037,-6550439.5515797,-75.7823494759418,-1793529.34231847,6791539.28254854
58777.1001157407,-6438811.84438089,-90.4465817463586,-2160047.8502253,6791472.93970779
58777.1006944444,-6306692.49300583,-105.016992679704,-2519671.88368132,6791400.1953779
58777.1012731481,-6154506.58944144,-119.443100828217,-2871255.51570536,6791322.37566538
58777.1018518519,-5982743.46299037,-133.674313970836,-3213679.27533641,6791240.96513661
58777.1024305556,-5791954.97109497,-147.660109924574,-3545853.7685915,6791157.58595173
58777.1030092593,-5582753.58353405,-161.350218125355,-3866723.17767217,6791073.97495001
58777.103587963,-5355810.27041633,-174.694801275783,-4175268.62654071,6790991.95898438
58777.1041666667,-5111852.20527564,-187.64463636588,-4470511.40184234,6790913.42882489
58777.1047453704,-4851660.29488997,-200.151294413593,-4751516.01971996,6790840.31197376
58777.1053240741,-4576066.54809991,-212.167318283174,-5017393.12989759,6790774.54474801
58777.1059027778,-4285951.29583467,-223.646397985595,-5267302.24998934,6790718.04399412
58777.1064814815,-3982240.27490005,-234.543542881877,-5500454.3238481,6790672.67881363
58777.1070601852,-3665901.58782651,-244.815250249787,-5716114.09908566,6790640.24266705
58777.1076388889,-3337942.55098473,-254.4196696998,-5913602.3198438,6790622.42623353
58777.1082175926,-2999406.44288049,-263.316762954131,-6092297.73184288,6790620.79138179
58777.1087962963,-2651369.16408127,-271.468458530954,-6251638.89763586,6790636.74660704
58777.109375,-2294935.81991645,-278.838800894115,-6391125.82062806,6790671.52425924
58777.1099537037,-1931237.23643661,-285.394093653086,-6510321.37713421,6790726.15987567
58777.1105324074,-1561426.4197573,-291.103036409459,-6608852.55614074,6790801.47389577
58777.1111111111,-1186674.96830896,-295.936854861551,-6686411.50686677,6790898.05601218
58777.1116898148,-808169.447035111,-299.869423786872,-6742756.39445354,6791016.25237245
58777.1122685185,-427107.732156438,-302.877382527901,-6777712.06426232,6791156.15581394
58777.1128472222,-44695.3347342961,-304.940242609905,-6791170.51532764,6791317.59927269
58777.1134259259,337858.289110447,-306.040487120995,-6783091.18350658,6791500.15246603
58777.1140046296,719343.433607108,-306.163661483377,-6753501.03479002,6791703.12190689
58777.1145833333,1098553.83686479,-305.298455244266,-6702494.46914786,6791925.55426332
58777.115162037,1474290.36502893,-303.436774513701,-6630233.03515992,6792166.24303447
58777.1157407407,1845364.67951499,-300.573804676612,-6536944.95557333,6792423.7384708
58777.1163194444,2210602.87961966,-296.708063008648,-6422924.46384306,6792696.36062529
58777.1168981481,2568849.11254805,-291.841440830557,-6288530.95168192,6792982.21538022
58777.1174768519,2918969.14263069,-285.979234844381,-6134187.92766117,6793279.21325763
58777.1180555556,3259853.87106856,-279.130167308616,-5960381.78702528,6793585.09078505
58777.1186342593,3590422.79716199,-271.306394727801,-5767660.39307507,6793897.43415622
58777.119212963,3909627.41147526,-262.523504757576,-5556631.47080565,6794213.70489809
58777.1197916667,4216454.51101522,-252.800501055174,-5327960.81385593,6794531.26722904
58777.1203703704,4509929.42594202,-242.159775845173,-5082370.30642239,6794847.41677273
58777.1209490741,4789119.14702078,-230.627070012133,-4820635.76238113,6795159.41027859
58777.1215277778,5053135.34260923,-218.231420583029,-4543584.58464216,6795464.49598182
58777.1221064815,5301137.25369426,-205.005095520249,-4252093.24864138,6795759.94423536
58777.1226851852,5532334.45538542,-190.983515803957,-3947084.61472765,6796043.07803733
58777.1232638889,5745989.47306802,-176.205164856889,-3629525.07537571,6796311.30308477
58777.1238425926,5941420.24164301,-160.711485427055,-3300421.54403152,6796562.13698815
58777.1244212963,6118002.39630257,-144.5467641283,-2960818.29372144,6796793.23729163
58777.125,6275171.38377597,-127.758003906927,-2611793.65449459,6797002.42796345
58777.1255787037,6412424.38336545,-110.394784786542,-2254456.58001897,6797187.72403393
58777.1261574074,6529322.02776678,-92.5091133199908,-1889943.09471473,6797347.35408588
58777.1267361111,6625489.91447977,-74.1552612488066,-1519412.63374687,6797479.78032754
58777.1273148148,6700619.89946464,-55.389593952777,-1144044.28933551,6797583.71600753
58777.1278935185,6754471.16580832,-36.2703893348412,-765032.977558061,6797658.13996283
58777.1284722222,6786871.0612936,-16.8576478561085,-383585.540664357,6797702.30812703
58777.1290509259,6797715.70003623,2.78710550873827,-916.800478474062,6797715.76186073
58777.1296296296,6786970.32468029,22.6010265701031,381754.420996096,6797698.33300595
58777.1302083333,6754669.42704258,42.5201636085314,763209.297371631,6797650.14560372
58777.130787037,6700916.62651982,62.4796745421694,1142232.993507,6797571.6142553
58777.1313657407,6625884.30701062,82.4140486452099,1517618.64440877,6797463.4391469
58777.1319444444,6529813.01453057,102.25733186758,1888171.30100405,6797326.59779746
58777.1325231481,6413010.61908062,121.943354799009,2252711.82675459,6797162.33362945
58777.1331018519,6275851.24566774,141.405962317654,2610080.72951215,6796972.14149916
58777.1336805556,6118773.98061343,160.579243975431,2959141.91371076,6796757.75036137
58777.1342592593,5942281.36046814,179.397764184118,3298786.33866123,6796521.10327693
58777.134837963,5746937.65182898,197.796791298138,3627935.5697297,6796264.33500369
58777.1354166667,5533366.93133093,215.712524711913,3945545.20998796,6795989.74744205
58777.1359953704,5302250.97582433,233.082319130857,4250608.20105534,6795699.78323324
58777.1365740741,5054326.97333916,249.844905217468,4542157.98296735,6795396.9978273
58777.1371527778,4790385.0660104,265.940605850991,4819271.50390165,6795084.0303633
58777.1377314815,4511265.73632127,281.311547296067,5081072.07189979,6794763.57371487
58777.1383101852,4217857.0483775,295.901864610927,5326732.04161871,6794438.34406591
58777.1388888889,3911091.75580596,309.657900684226,5555475.33041196,6794111.05039042
58777.1394675926,3591944.28792603,322.528398326727,5766579.75890009,6793784.36420713
58777.1400462963,3261427.62558684,334.464684892408,5959379.21220962,6793460.88998265
58777.140625,2920590.07777413,345.420848943101,6133265.61888944,6793143.13654288
58777.1412037037,2570511.9697936,355.353908505274,6287690.74522963,6792833.48984612
58777.1417824074,2212302.2533441,364.223970502369,6422167.80338962,6792534.18745203
58777.1423611111,1847095.0484308,371.994380970162,6536272.87221774,6792247.29499795
58777.1429398148,1476046.12653577,378.631865687058,6629646.13009342,6791974.68497093
58777.1435185185,1100329.34407499,384.106660866521,6701992.89939429,6791718.01803505
58777.1440972222,721133.034692786,388.392633572209,6753084.50240373,6791478.72713885
58777.1446759259,339656.368624394,391.46739152333,6782758.9285607,6791258.00459413
58777.1452546296,-42894.3129857319,393.312381962609,6790921.31298536,6791056.79227762
58777.1458333333,-425309.181148861,393.912979260507,6777544.22616793,6790875.77506754
58777.146412037,-806378.611960581,393.258560928728,6742667.77461955,6790715.37758524
58777.1469907407,-1184896.88190436,391.342571714877,6686399.51217187,6790575.76426829
58777.1475694444,-1559665.85804657,388.162575449133,6608914.16149069,6790456.84275944
58777.1481481481,-1929498.67542451,383.720294314395,6510453.14526911,6790358.27055176
58777.1487268519,-2293223.3937479,378.021635214578,6391323.92649576,6790279.46478863
58777.1493055556,-2649686.62514751,371.076702923728,6251899.1571993,6790219.61507673
58777.1498842593,-2997757.12440744,362.899799709347,6092615.63510529,6790177.69912991
58777.150462963,-3336329.3325154,353.509411144039,5913973.06784672,6790152.50102587
58777.1510416667,-3664326.86404528,342.928177841576,5716532.64456653,6790142.63182729
58777.1516203704,-3980705.92816684,331.182852890187,5500915.41520504,6790146.55228186
58777.1521990741,-4284458.67279002,318.304244790857,5267800.47814966,6790162.59729891
58777.1527777778,-4574616.44057678,304.327145765396,5017922.97769531,6790189.00186828
58777.1533564815,-4850252.92544335,289.290245344051,4752071.91327798,6790223.92807675
58777.1539351852,-5110487.21742964,273.236029221424,4471087.7635542,6790265.49286357
58777.1545138889,-5354486.72382406,256.210663428349,4175859.92911182,6790311.79614116
58777.1550925926,-5581469.95405905,238.26386395517,3867323.99880495,6790360.94891621
58777.1556712963,-5790709.15588588,219.448752043718,3546458.84577848,6790411.10103201
58777.15625,-5981532.79048325,199.821695449581,3214283.56034335,6790460.46817508
58777.1568287037,-6153327.83422696,179.442136080274,2871854.22827633,6790507.3577856
58777.1574074074,-6305541.89544055,158.372404492053,2520260.56405187,6790550.19353755
58777.1579861111,-6437685.13478615,136.677521841507,2160622.41004814,6790587.53806543
58777.1585648148,-6549331.9788457,114.424989962911,1794086.1136354,6790618.11364499
58777.1591435185,-6640122.61717926,91.6845703459458,1421820.79539577,6790640.820556
58777.1597222222,-6709764.27422829,68.5280528676853,1045014.52264476,6790654.7528898
58777.1603009259,-6758032.24857928,45.0290152085964,664870.403286164,6790659.21159581
58777.1608796296,-6784770.71333853,21.262573962409,282602.615959335,6790653.71459739
58777.1614583333,-6789893.27277492,-2.69487149520787,-100567.607049349,6790638.00384537
58777.162037037,-6773383.27182008,-26.7659012580749,-483416.027121697,6790612.04921667
58777.1626157407,-6735293.8565263,-50.8723420988972,-864719.459546105,6790576.04920722
58777.1631944444,-6675747.78512074,-74.9355384431971,-1243259.82923014,6790530.42840817
58777.1637731481,-6594936.99083548,-98.876625897802,-1617828.20451827,6790475.8317957
58777.1643518519,-6493121.89921815,-122.616806116039,-1987228.79195141,6790413.11590847
58777.1649305556,-6370630.50410084,-146.077621787992,-2350282.87521733,6790343.33702344
58777.1655092593,-6227857.20782514,-169.181230559769,-2705832.68208644,6790267.73648351
58777.166087963,-6065261.43261068,-191.850676718204,-3052745.16391402,6790187.72336389
58777.1666666667,-5883366.01119043,-214.010159509495,-3389915.67305151,6790104.8547008
58777.1672453704,-5682755.36589092,-235.585297012522,-3716271.52456055,6790020.81354115
58777.1678240741,-5464073.48626193,-256.503384541221,-4030775.42966867,6789937.38509313
58777.1684027778,-5228021.71617846,-276.693646609414,-4332428.78951116,6789856.43129353
58777.1689814815,-4975356.36189293,-296.087481563499,-4620274.8389769,6789779.86411778
58777.1695601852,-4706886.13304778,-314.618698052247,-4893401.63159999,6789709.61798867
58777.1701388889,-4423469.42891228,-332.223742578246,-5150944.85770689,6789647.62163922
58777.1707175926,-4126011.48224579,-348.841917448501,-5392090.48923233,6789595.76980725
58777.1712962963,-3815461.37328452,-364.415588505856,-5616077.245663,6789555.89512883
58777.171875,-3492808.92601736,-378.890382103994,-5822198.87683261,6789529.74060909
58777.1724537037,-3159081.49897704,-392.215370835443,-6009806.25902616,6789518.93303509
58777.1730324074,-2815340.68207627,-404.343247600295,-6178309.30201554,6789524.95768437
58777.1736111111,-2462678.91094677,-415.23048764065,-6327178.66519539,6789549.13467323
58777.1741898148,-2102216.00945942,-424.837498226095,-6455947.28183573,6789592.59725917
58777.1747685185,-1735095.67087098,-433.128755706271,-6564211.69087422,6789656.27239594
58777.1753472222,-1362481.88727424,-440.072929688605,-6651633.17620662,6789740.86380527
58777.1759259259,-985555.336743422,-445.642994119858,-6717938.71365288,6789846.8377996
58777.1765046296,-605509.736967037,-449.816325075091,-6762921.72603388,6789974.41205471
58777.1770833333,-223548.173759004,-452.574785071587,-6786442.64687913,6790123.54749122
58777.177662037,159120.587461046,-453.904793735041,-6788429.2933046,6790293.94338563
58777.1782407407,541285.799458054,-453.797384652751,-6768877.04856844,6790485.0357882
58777.1788194444,921738.432634668,-452.248248251833,-6727848.85472019,6790695.99928344
58777.1793981481,1299274.86862773,-449.257760543044,-6665475.01564898,6790925.75208424
58777.1799768519,1672700.58052038,-444.830997573216,-6581952.8107212,6791172.96440818
58777.1805555556,2040833.79202999,-438.977735432974,-6477545.91910147,6791436.07004152
58777.1811342593,2402509.10784091,-431.712435672604,-6352583.65478721,6791713.28095524
58777.181712963,2756581.10696295,-423.054215989131,-6207460.01238538,6792002.60479952
58777.1822916667,3101927.89063448,-413.02680606306,-6042632.5237325,6792301.86506438
58777.1828703704,3437454.57590225,-401.658488444241,-5858620.92561478,6792608.72366223
58777.1834490741,3762096.72555876,-388.982024414253,-5656005.63910161,6792920.70565498
58777.1840277778,4074823.7046502,-375.034564788573,-5435426.06138022,6793235.22582292
58777.1846064815,4374641.95333001,-359.857545664683,-5197578.67145291,6793549.61675225
58777.1851851852,4660598.16539511,-343.496569172885,-4943214.95164602,6793861.15809346
58777.1857638889,4931782.36141773,-326.001269348491,-4673139.12763237,6794167.10663467
58777.1863425926,5187330.84518707,-307.425163303337,-4388205.73037231,6794464.72682078
58777.1869212963,5426429.03176853,-287.825487957733,-4089316.98444433,6794751.32134567
58777.1875,5648314.13556042,-267.263022660851,-3777420.02804047,6795024.2614462
58777.1880787037,5852277.70654656,-245.801898122262,-3453503.97112922,6795281.01652652
58777.1886574074,6037668.00321087,-223.509392154909,-3118596.79924553,6795519.18275692
58777.1892361111,6203892.1907648,-200.455712824121,-2773762.13157691,6795736.5102971
